url,blog_content,blog_title,image_url
https://www.lancerskincare.com/blog,,WORLD OF LANCER BLOG,
https://www.lancerskincare.com/blog/dr-lancers-skin-reality/,"Dr Lancer’s Skin Reality 
Dr. Lancer’s Skin Reality – Intro
COVID-19 has changed the way we live life. How we socialize, work, sleep and our daily activities have all been altered in some way because of the global pandemic. Wearing a mask is totally normal now, and many of us will continue to wear a mask long after the vaccine. It’s part of our life now, part of our routine. With this new way of life, our at home skincare and hygiene program has also taken on a greater, new meaning.
Spending more time at home has led us to reflect more frequently on how we care for ourselves and what we can do differently. You may have stood in front of your bedroom mirror, seeing yourself from head to toe in only your birthday suit. After studying every aspect of yourself, you might have noticed that your neck could be firmer, your complexion could be fresher, or you would like to work on toning a specific part of your body. Whatever it is, the pandemic has allowed time for you to see what you would like improved and motivates you to make those positive changes for a healthier and happier life, regardless of gender, ancestry or age.
With more awareness on body image and achieving beautiful, glowing skin, the majority of people are starting to understand that complexion, radiance and uniformity influence self-perception and the perception of others in terms of overall health. Many pay closer attention to skin color, texture, qualities of architectural unity and the reflection of lights and shadows, giving them a clearer perception of their current state of wellness. Taking care of your skin is not only about looking good, it’s about keeping your skin and body’s health in check.
To keep skin healthy during COVID-19 and post-pandemic, use these Lancer best-sellers in your at-home skincare routine:
The Method: Polish, Cleanse & Nourish

You’re in for a treat! The Method: Polish is a gentle exfoliator made of pure minerals, pumpkin and pomegranate enzymes and is a favorite at Lancer Dermatology. The product removes dead skin cells and other skin impurities, leaving skin feeling fresh and brighter.
The Method: Cleanse (step #2) removes any remaining impurities left on the skin. The cleanse has a pearl white coloring with a light lemon scent, enriched with a rice amino acid complex and can be used on all skin types.
The Method: Nourish is the final step of the routine and gives skin the hydration it needs year-round. It also seals in vital ingredients that transform your skin to a more youthful, radiant complexion. Adding in a drop or two of the Omega Hydrating Oil will also give your skin that extra boost of hydration and smoothness.

Once you’ve mastered this simple, yet powerful 3-step system, you can add in masks and advanced treatments like Advanced C Radiance Treatment and Advanced Retinol Treatment to continue to improve your skin’s appearance and health.



Advanced C Radiance Treatment with 10% Vitamin C and Retinol brightens your overall skintone while evening and smoothing the complexion. This product should be used in the AM.
Advanced Retinol Treatment with 1.25% Retinol is a nighttime serum that improves texture, tone and skin elasticity while reducing those fine lines and wrinkles. Skin will look plumper, smooth and hydrated after consistent use.



In the coming weeks, this online continuation of Younger: The Breakthrough Anti-Aging Method for Radiant Skin will discuss new aspects of inner and outer beauty in the new era of self-awareness. I will share tips, new products and procedures for the face, neck, decollete, hands, thighs, waist and curves so you can achieve youthful, radiant skin from head to toe. I will also touch on nutrition, the importance of exercise, quality sleep and emotional well being, as that’s all part of the Lancer pillar of health.

Dr Lancer’s Skin Reality was last modified:  February 20th, 2023 by Dr. Harold Lancer","Dr Lancer’s Skin Reality
Dr Lancer’s Skin Reality",https://staging.lancerskincare.com/blog/wp-content/uploads/2021/03/SIGN.png
https://www.lancerskincare.com/blog/forgetting-something-contour-decollete-please/,"Life before the COVID-19 pandemic. Going to the theater, table for 6 at your favorite restaurant without a care in the world. Remember dinner parties? You were surrounded by great company and a generous amount of food and wine. The glassware, plates and utensils were all of a similar style and complimented each other well. Every element of the dinner party worked together, making the evening a success. Think about that last dinner party you went to.
When Dr. Lancer sees new patients, he uses his dinner party concept as an example of how patients should care for their skin. Most new patients tend to focus on facial skin imperfections, pointing out the obvious blemish or wrinkle. The focus on that one area is so intense, that we don’t notice what’s around it, causing us to neglect parts of the skin that desperately need our attention. It’s important to remember that skincare isn’t just for the forehead to the jawline. The hairline to the chest should be cared for with equal treatment. Think of it this way: The hairline to the chest is like the table at your dinner party. You need everything to match and compliment each other to garner the most beautiful results.
Dr. Lancer’s dinner party philosophy opens our eyes to our current skin’s condition. Your face, neck and chest most likely have different skin tones and textures. Your neck in particular might need the most repair, having deep lines, sagging skin and ultimately showing the most signs of aging. Those deep lines that we notice are actually wrinkles and become more visible over time. “The skin’s appearance on the neck and décolleté can give away a person’s true age, ”says Dr. Lancer. As we age, skin loses elastin and collagen. Elastin allows skin to stretch and bounce back providing a tighter appearance. It gives skin its structure. Collagen is a protein serving as one of the main building blocks for our skin. It keeps our skin from sagging as it holds up the top layer of the skin, giving us that plump, youthful look we desire. While aging is the main reason for a change in the necks appearance, other factors such as UV exposure, pollutants in the environment, poor lifestyle choices and constantly looking down at your phone definitely accelerate skin aging.
While our first instinct is to search the internet for anything that can help repair the skin, it’s important to remember that the neck’s skin needs a specific treatment because of the way the skin differs below the face. The neck and chest in particular have a different cellular structure than facial skin. The skin is thinner and more delicate with less fat under the skin. It also has less oil gland production and often sees signs of dehydration quicker than other areas. With this difference, Dr. Lancer created a unique treatment to give the neck the catch up that it needs.
Contour Decollete is a firming concentrate used to hydrate, sculpt and lift the delicate area of the neck, helping to reverse the signs of aging. Designed for all skin types, Contour Decollete contains Marine Cone Snail Venom, a 5-peptide liposomal system and an acid-free exfoliating blend, giving the neck and decollete the recipe that it needs for repair. Marine Cone Snail Venom is the key to reducing visible signs of aging around the neck and decollete, while the 5-peptide liposomal system mimics the skin’s natural growth factors, encouraging a synergistic, youth-inducing effect on the skin. The acid-free exfoliating blend works to create smoother texture and tone for a visibly lifted, more plump and radiant appearance. Developed for prompt and long-lasting improvements for the delicate neck, décolleté and bust line areas, this lightweight serum immediately absorbs to plump and smooth away surface dehydration, soften the appearance of lines and crepiness, and improve surface texture.
Initially, Contour Decollete should be applied once daily. As your skin becomes acclimated to the product, applications can be increased to twice a day. When using, gently massage the serum into cleansed skin on the neck, decollete and bustline with upward strokes until completely absorbed. As with all Advanced Treatments, Contour Decollete should be used in tandem with The Method: Polish, Cleanse and Nourish for optimal results. And don’t forget your sunscreen! We recommend Dr. Lancer’s Sheer Fluid Sun Shield with SPF 30 to help enhance results and protect the skin from damage caused by UV rays. For everyone that’s concerned that their decollete area will never be the same – know this can be reversable. It just needs a little love, care and the right ingredients to revive it, just like a dinner party.
Forgetting Something? Contour Decollete, Please! was last modified:  March 3rd, 2023 by Dr. Harold Lancer","Forgetting Something? Contour Decollete, Please!",
https://www.lancerskincare.com/blog/the-beauty-of-exfoliation/,"Exfoliation is one of those fancy terms for removing debris. An exfoliating product removes debris from the skin’s surface as it stimulates new oxygen flow, new cell metabolism, new protein production, and begins restoring the skin. Skin looks and feels fresh post exfoliation and it helps tremendously with evening out skin tone. It’s important to exfoliate on a daily basis to keep your complexion radiant and healthy. But remember, you’ll need to get every inch of your body – not just your face!
The Method: Polish is the number one exfoliating product at Lancer Skincare. The product was developed from the 1983 / 1984 thought process of its founder, Dr. Lancer, who understood the need to remove debris from an area wanting to be restored before cleansing the skin. When Lancer re-developed the proper theory and practice of skincare, the clinic served as the focus on patient care to develop the Lancer Polish-Cleanse-Nourish protocol. Polish is the first step of the 3-step system and is used to gently remove surface debris and dull, dry surface cells to reveal a brighter, smoother, and more even toned complexion. The product contains a generous mix of crystals, pumpkin and pomegranate enzymes and can be used on the face, neck and décolleté. In addition, there is an alternate version for the body which can be used from the shoulders down. Both products can be used daily or every other day to exfoliate or remove dead skin cells that are interfering with the normal metabolic function of living tissue so that all the active ingredients in Lancer products work better. After The Method: Polish, use The Method: Cleanse to remove any remaining impurities left on the skin and The Method: Nourish to hydrate the skin while providing anti-aging benefits.
Dr. Lancer also developed an instrument so that you can exfoliate your skin from home – the Pro Polish Microdermabrasion Device. Inspired by the PowerPeel Microdermabrasion machine used at Lancer Dermatology, the new patented device allows you to experience optimal exfoliation for the face and body in the privacy of your own home. The device comes equipped with a diamond tipped component for small areas like the face, neck and hands, and has a second attachment for the larger areas of the body. The Pro Polish Microdermabrasion Device was designed to be used 1-2x/week and has 3 power levels to choose from. Some may use it on their face. Some might use it on just their elbows. It can be a broad use mechanical instrument treatment or a focal area of concern treatment device. It varies from person to person. With consistent use, skin should appear smoother, even toned and healthy.
The Method: Polish and Pro Polish Microdermabrasion Device are both crucial to the concept of Lancer Skincare because they promote the idea that you must remove debris – dead, non-functioning interfering skin cells before cleansing, advanced product use and nourishing the skin. It’s important to note that they should not be used on the same day and in the same area because it would be over stimulating the region.
Exfoliation is the key to obtaining beautiful, clean skin so remember to include it in your daily skincare regimen as it will make a huge difference in your complexion from head to toe.
The Beauty Of Exfoliation was last modified:  March 3rd, 2023 by Dr. Harold Lancer",The Beauty Of Exfoliation,
https://www.lancerskincare.com/blog/gentle-exfoliating-peel-pads/,"For a Brighter, Even Complexion in 2021
We are ever-changing. Our wants, fears, lifestyle, circumstances and appearance are constantly in flux. Look at life today. The new normal is working from home in comfy PJs, wearing a mask when in public and staying 6 feet apart. Our mask keeps us safe and healthy, but it can also cause some unwanted changes in our skin. Face coverings often cause skin imperfections like acne, dryness and a rough, uneven skin tone.
To improve dull, uneven skin tone and rough skin texture, Dr. Lancer developed Gentle Exfoliating Peel Pads, a new, effective treatment for all skin types. Featuring 7% Lactic Acid and Bakuchiol, these peel pads gently exfoliate the skin and is recommended for all skin types, including sensitive skin. The product gradually resurfaces and brightens skin with the swipe of a pre-dosed pad and is a gentle alternative to laser resurfacing and chemical peels. These peel pads are to be used after The Method: Cleanse and should be used every other day, in the morning or at night.
So, what’s in these exfoliating pads that make this product so beneficial? Each pad is made from biodegradable bamboo and contains a blend including 7% Lactic Acid, Bakuchiol, Papaya Fruit Extract and Oat Bran Extract.
Diving deeper into our ingredients list…

Lactic Acid is known to exfoliate the upper layers of the skin while stimulating cell renewal in the skin’s epidermis. Exfoliation and cell renewal brightens your complexion, creating a more youthful, vibrant glow.
Bakuchiol is a plant-derived natural retinol alternative (aka Vitamin A) for anti-aging. This ingredient reduces fine lines and wrinkles by plumping the skin and smoothing out rough skin texture.
Papaya Fruit Extract, also known as medicinal tree, is another powerful ingredient for skin brightening and wrinkle reduction. Papaya Fruit Extract also purifies the skin while providing antioxidant benefits and balancing the skin.
Lastly, Oat Bran Extract is a multi-benefit ingredient that protects the skin’s barrier function, helping to retain skin’s moisture as it soothes the skin and relieves it of any dryness.

Together, these ingredients are the cookbook to a fresher, renewed complexion, while providing anti-aging benefits.
To seal in these powerful ingredients and keep the skin hydrated, apply Method Nourish to finish your skincare routine. Our aestheticians also recommend using the Soothe & Hydrate Serum with hyaluronic acid to calm the skin while bathing it in hydration. The Active Rejuvenation Serum is also highly recommended, as it hydrates, softens and lifts the skin, for a more youthful and radiant complexion.
Gentle Exfoliating Peel Pads was last modified:  March 3rd, 2023 by Dr. Harold Lancer",Gentle Exfoliating Peel Pads,
https://www.lancerskincare.com/blog/the-game-plan-for-radiant-skin/,"Your skin’s condition can reveal a lot about you, like if you’re spending plenty of time outdoors or applying sunscreen as much as you say you do. If we’re being honest, we can be complacent and not always use the proper protection needed for our skin. Luckily, our skin produces melanin—the natural skin pigment that protects skin cells from UV rays. However, relying on melanin alone doesn’t give you the necessary protection. Without sunscreen and the proper care, you’ll start to see the skin imperfections you’ve been warned about.
Hyperpigmentation—irregular darkening of the skin—is a common skin issue caused by multiple factors. Excessive sun exposure is the #1 leading factor as it can result in sun damage. When unprotected skin is exposed to the sun, melanin production kicks into overdrive as it attempts to protect the skin from damaging UV rays. However, the overproduction of melanin is what causes skin discoloration and uneven skin tone. Hyperpigmentation also results from air pollution, scars, and hormonal changes. Sometimes laser procedures can cause unexpected pigmentation if not done properly.
So, what can we do now to help fade dark spots and achieve radiant, glowing skin? We can commit to protecting our skin moving forward by limiting sun exposure, applying sunscreen daily, and using the right skincare regimen to restore our skin.
Corrective Lightening Treatment by Dr. Lancer is a new, highly effective OTC product that helps gradually fade skin discoloration such as dark spots, age spots, and UV-induced hyperpigmentation, helping to revitalize skin’s radiance. Corrective Lightening Treatment doesn’t alter a person’s natural skin color. Its sole purpose is to reduce unwanted dark spots and discoloration to give a balanced, radiant complexion.
This powerful serum contains 2% Hydroquinone, Dr. Lancer’s #1 recommended ingredient to lighten unwanted pigmentation. The maximum hydroquinone concentration available without a prescription is 2% and is the key to fading dark spots. It’s the champion ingredient for skin tone correction, and Dr. Lancer has been using it to fade skin discoloration for years. When creating products, he uses the motto: Practice to Product. Everything used in the office is created as a product for patients to use at home. Corrective Lightenting Treatment also contains Niacinamide, also known as vitamin B3, which helps improve the look of skin texture, enlarged pores, and firmness.
With a handle on Corrective Lightening Treatment, we can use it as part of an overall skincare regimen to achieve radiant and healthy skin. But how do we find the right products for us? Dr. Lancer shares his secret—the Lancer Ancestry Scale to determine the right skincare routine for each patient.
In 1997, Dr. Lancer attended the American Society for Laser Medicine and Surgery conference. During the conference, a panel of highly respected dermatologists spoke about poor outcomes from resurfacing techniques. A resident came forward, sharing a recent complication he had with a standard laser procedure. The patient seemed like an ideal candidate. Blue eyes, blonde hair, fair skin. The procedure should have been a success but instead resulted in a second-degree burn. The same procedure had gone as planned with other candidates. So, what was different this time?
During his return flight to Los Angeles, Dr. Lancer thought about this situation and left the airport with a couple of ideas. Reaching out to the resident again, he asked if he had seen the patient’s family during the consultation. The resident said he did and mentioned that the family had an olive skin tone, which differed from his patient’s fair skin. This new information sparked an idea and led to the creation of the Lancer Ancestry Scale.
Using the theory that skins outward appearance can be deceiving, Dr. Lancer posits that a procedure or skincare regimen shouldn’t be recommended solely based off what one sees on the surface. It’s important to know the global ancestry of each patient to provide the most appropriate skincare regimen. With multigenerational ancestral background information, Dr. Lancer can determine which products will perform best for each patient. A skincare routine developed with the guidance of the Lancer Ancestry Scale may be extremely useful if complexion uniformity is the main issue, particularly in individuals with sensitive skin.
With Corrective Lightening Treatment and skincare regimen determined by the Lancer Ancestry Scale, you’ll have the recipe needed to gradually fade dark spots and get glowing skin. Make sure to acclimate your skin slowly when starting any new product. Use a small amount on the affected area once or twice a week to start off. You can begin to use the product twice daily after a few applications.
With a plan in place, we can’t forget sunscreen to keep our skin tone balanced and healthy for life. Sunscreen is key even on overcast days. It’s important to note that all sources of light can influence skin toxicity, so remember that skin protection is needed during all waking hours. If you can see your surroundings without artificial light, there’s enough light to speed up skin aging.
The Game Plan for Radiant Skin was last modified:  March 3rd, 2023 by Dr. Harold Lancer",The Game Plan for Radiant Skin,
https://www.lancerskincare.com/blog/the-magic-of-younger-revealing-mask-intense/,"I bet you have a million masks at home, but there’s nothing quite like this one. Dr. Lancer’s Younger Revealing Mask Intense is the next generation treatment mask that provides a unique experience for consumers while revealing younger, more radiant skin. What makes this mask so different? Well, instead of washing off the mask, it is removed with a specifically designed silver magnetic wand that gently pulls the mask’s content from the skin, leaving behind active ingredients that help to reduce the look of fine lines and wrinkles while accelerating cell turnover for younger-looking skin. The mask renews skin, working to improve the appearance of skin firmness and elasticity. Active ingredients also help to soften congested pores and re-regulate pore structure. This mask’s delivery system differs from any other mask and gives long-lasting anti-aging benefits for the face, neck, chest and body.
Dr. Lancer’s Younger Revealing Mask Intense comes with a set of 4 retinoid powered masks that contain a blend of Hydroxypinacolone Retinoate, Mineral Powder and Dimethicone. Hydroxypinacolone Retinoate is known to improve skin texture and tone while supporting collagen and cell turnover. Mineral powder is rich in iron and provides the source of ferromagnetic activity while Dimethicone provides emollience as it softens and moisturizes the skin. Younger Revealing Mask Intense comes with the magnetic wand and a small applicator to assist in the application process. Refills, as well as a trial size, are also available on LancerSkincare.com.
To apply the mask, use the applicator and spread the pod’s content evenly onto the face, neck and decollete. Dr. Lancer recommends leaving the mask on for 10-15 minutes, giving you just enough time to catch up on some emails or do a quick phone call with a friend. When it’s time to remove the mask, place the wand above the skins surface and watch as it gently lifts the mask off with its magnet, leaving those essential ingredients behind to work their magic. Remember, there’s no need to rinse since the magnetic wand removes the mask for you. Simply pat any residual product the tool may have missed into the skin. Pro-Tip! You can also wrap the magnetic wand with a tissue for less cleanup afterwards. The mask can be used once a week but patients may use it every other night if they wish.
As with all of our Advanced Treatments, it’s important to use the mask with the Lancer Method: Polish, Cleanse and Nourish to achieve the best results. The Younger Revealing Mask Intense is meant to be used within a system and is more effective when used with the Method.
Younger Revealing Mask intense is one of a kind, providing anti-aging benefits through a unique system. It’s exciting to see how it works from start to finish and we can’t wait for you to experience it for yourself.
The Magic of Younger Revealing Mask Intense was last modified:  March 3rd, 2023 by Dr. Harold Lancer",The Magic of Younger Revealing Mask Intense,
https://www.lancerskincare.com/blog/the-lancer-ancestry-scale-diving-deeper/,"The Lancer Ancestry Scale was developed by Dr. Lancer in 1998. The scale mirrored the well-known Thomas Fitzpatrick Classification Skin Typing System, which shows a person’s skin pigmentation in relation to their tolerance to sun exposure. At the time of the scale’s creation, Fitzpatrick was measuring the skin’s ability to tolerate UV rays to determine the correct dose of UVA to treat psoriasis. The scale lists six skin types including very fair, fair, light golden, olive, brown and dark brown.
After using the Fitzpatrick scale, Dr. Lancer created the Lancer Ancestry Scale to build on the concept by adding heritage into the equation. Lancer Ancestry Scale (LAS) was developed to help dermatological specialists clearly assess and understand the nature of the biologic function of each individual patient that they’re treating. In prior years, medical specialists used to determine skincare regimens and procedures based off of the patient’s skin color, hair color and eye color but what’s on the surface can be deceiving.
According to Dr. Lancer, you could have a blue eyed, blonde hair, fair complexion patient that looks like the ideal candidate for a laser or chemical peel treatment, but they may not be right for the treatment after all. A dermatologist needs to know the global origin of each patient in order to know if there are any hidden genes in the skin before deciding on the proper skincare regimen or procedure for an individual. For Instance, when Dr. Lancer sees a new patient, he always asks them to speak of their ancestry as far back as they know and most times he finds that the pigmentation in the patient’s skin is not an accurate reflection of their genetic ancestry. A patient could be carrying genes for a darker skin type, but those genes could be hidden in a porcelain complexion. Without knowing a patient’s ancestry, dermatologists could recommend treatments that could damage the skin rather than repair it. A person’s planetary origins influence skin response to topical therapy and can also influence healing time after various procedures.
Below is Dr. Lancer’s LAS scale which shows an ancestral background column with the appropriate LES Type.
Lancer Ancestry Scale (Based on geography & heredity)



Ancestry Background
LES TYPE


African Background



Central, East, West Africa
V


Eritrean and Ethiopian
V


North African, Middle East Arabic
V


Sephardic Jews
IV


Asian Background



Chinese, Korean, Japanese, Thai, Vietnamese
IV


Filipino, Polynesian
IV


European Background



European Jews
III


Celtic
I


Central, Eastern European
II


Nordic
I


Northern European
I-II


Southern European, Mediterranean
III-IV


Central/South American Background



Central/South American Indian
IV


North American Background



Native American
III



To find a patient’s LES type, simply add up the numbers that correspond to their grandparents ethnicities and divide by four. The higher the number, the more likely they’ll experience complications with healing after a cosmetic procedure. It’s also important to note that they might experience an adverse reaction to aggressive resurfacing procedures, including laser treatments and chemical peels.



LES Skin Type
Risk


LES I
Very Low


LES II
Low


LES III
Moderate


LES IV
Significant


LES V
Considerable



Having recently modified the scale’s title, we now look to it as: Ancestry According to Latitude and Longitude. Our global ancestry influences skin topical therapy as well as skin medical procedural therapy. For ancestral information, It’s not the name of the country of the patient that matters, it’s multi generation cumulative of what parts of the planet their family origins arise. If a patient’s multigenerational ancestry are closer to the Northern Hemisphere, chances are the skin is less likely to scar during a procedure than if it’s closer to the equatorial parts of the planet.
The Lancer Ancestry Scale: Diving Deeper was last modified:  March 3rd, 2023 by Dr. Harold Lancer",The Lancer Ancestry Scale: Diving Deeper,
https://www.lancerskincare.com/blog/friends-and-family-sale/,"Extended for 48 hours!  Offer ends 6/4.
If you want to get that luminous #LancerGlow, there’s no better time than Lancer Skincare’s semi-annual Friends and Family Event. This amazing sale takes place from May 23, 2019 through June 2, 2019 on LancerSkincare.com and it’s the perfect opportunity to shop the brand’s incredible best sellers! 

You can save 15% on everything sitewide, no code required, and enjoy free shipping and returns, as well as earn Lancer Rewards. Plus, if your order is more than $250, you’ll receive a free 3-Piece Bright & Glowing Set that revitalizes skin for a lovely radiance.
The Friends and Family Event is ideal for trying new products or replenishing your favorites. One of the more popular items is the Caviar Lime Acid Peel, which uses potent Glycolic Acid, Caviar Lime, Phytic Acid, Pineapple and Papaya fruit enzymes and stabilized retinol to transform your complexion’s tone and texture. Pair the peel with the Omega Hydrating Oil with Ferment Complex. This richly nourishing blend of Argan, Olive, Shiunko and Licorice oils lavishes skin with antioxidant-enhanced hydration to create a sublime suppleness and smoothness. 
For an unparalleled brightness in your complexion, try the Advanced C Radiance Treatment. A 10% concentration of Vitamin C plus retinol work together to diminish the appearance of hyperpigmentation and the typical signs of aging, while Shea Butter adds beneficial moisturizing power. It is the ultimate in luxurious and effective skincare. And, of course, there is Dr. Lancer’s groundbreaking The Method™. This renowned three-step anti-aging system polishes, cleanses and nourishes all skin types for a beautiful-looking complexion every day.
The Friends and Family Event is a special opportunity that takes place only twice a year. Don’t miss out on this chance to get your best skin ever!
Get Ready for the Semi-Annual Friends and Family Event was last modified:  March 3rd, 2023 by Dr. Harold Lancer",Get Ready for the Semi-Annual Friends and Family Event,https://www.lancerskincare.com/blog/wp-content/uploads/2018/09/Lancer-_MAY_FriendsFamily_GWP_1500x500.jpg
https://www.lancerskincare.com/blog/how-to-care-for-congested-skin/,"On a daily basis, your skin is fighting against environmental pollutants, sweat, and pore-clogging makeup. And if you have oily or congested skin, it is already combating blockages in the pores from excess sebum and dead skin cells. Finding products that can effectively but gently clear skin’s buildup can be a difficult task. Even products that are labeled non-comedogenic, water-based, or oil-free might still have irritating ingredients that can exacerbate your skin condition. We recommend you use products that are customized to address your complexion’s particular needs, which is why Dr. Harold Lancer has drawn from his extensive experience as a world-class dermatologist to create the optimal routine targeted for oily skin.

Dr. Lancer has taken his revolutionary three-step skin care system, the Lancer Method, and formulated it specifically for oily skin. The Method: Oily-Congested targets pore congestion and minimizes oiliness while also nourishing your skin so it looks radiant and refreshed.
What Is Congested Skin?
Before you set out to eliminate all traces of oil or shine, you should know that everyone’s skin needs some level of oil. It can even be beneficial to your complexion. Without it, your skin would look dry and lose its smooth, soft texture. But when too much oil is produced, it can obstruct the pores and stimulate the growth of bacteria. Combine that excess oil with dead skin cells, makeup, pollution, and sweat, the pores become clogged. In this state, your skin will be prone to acne or blemishes and look dull and uneven.
It is important to realize that oily congested skin can be attributed to a number of factors such as genetics and hormones or lifestyle factors like stress, diet, sleep, and medication. Though certain aspects are out of your control, there are steps that you can take to help keep your oily skin under control.
Caring for Congested Skin
In order to return balance to your skin, it’s important to get to the root of the problem, which means clearing out your clogged pores. The best way to clean the surface of your skin and clear your pores is with a gentle exfoliant. The goal is to resurface the skin without over-drying it with harsh chemicals or irritating it with rough physical exfoliants. With the right polishing product, you can buff away environmental traces and surface oil, including dead skin, makeup, or other debris. An effective polishing product will offer physical and chemical exfoliation without abrasion, helping to clear your pores and fight off congestion while preparing the skin for cleansing. Your exfoliator should also be formulated with nourishing ingredients that hydrate your skin. Once your skin is prepped for moisture, it’s imperative to use a product that isn’t too heavy or thick but still provides superior hydration.
The Method: Oily-Congested
The Method: Oily-Congested addresses this specific skin type to produce a complexion that looks clean and healthy. Dr. Lancer formulated the 3-Step Lancer Method to accelerate speed cell turnover by removing dull, dry surface cells, which then prepares the skin for luxurious nurturing. The Method: Oily Congested regimen targets the most common issues by eliminating pore-clogging sebum and dead skin cells without over-drying areas to boost new skin cells for refreshed healthy-looking skin.
The Method: Oily-Congested helps keep skin free of congestion with carefully selected ingredients that polish, cleanse, and nourish without adding excess oil. Begin with The Method: Polish Oily-Congested which uses gentle mineral exfoliants and plant enzymes to retexturize skin’s surface and remove dead skin cells. It also incorporates BHA and lilac stem cells to refine the look of pores. The polish step sets in motion the process of rejuvenation at the cellular level.
Follow the polish step with The Method: Cleanse Oily-Congested. This energizing cleanser employs Jojoba beads and oil-minimizing extracts to remove remaining impurities without stripping skin of its natural moisture. BHA and tea tree oil slough off dead skin cells revealing smoother looking skin. These high quality ingredients provide potent cleaning power. Your skin is properly cleansed and prepared to absorb nutrients in the last step.
Oily, congested skin needs proper nourishment and hydration to look healthy and youthful. The Method: Nourish Oily-Congested is an ultra-light, non-greasy moisturizer that helps your skin strike the perfect balance. This moisturizer is formulated with sodium hyaluronate to offer essential hydration and anti-aging benefits while BHA and tea tree oil decongest skin’s pores. The infusion of rare grape polyphenol and nasturtium flower extract provides powerful antioxidants to protect the skin from environmental stressors. At the end of your 3-Step Lancer Method: Oily-Congested skin care routine, your complexion will have been polished, cleansed, and nourished without the harsh and irritating effects for a healthy Lancer glow.
The Best Way to Care for Oily Skin and Congested Skin
Blemished, irritated, congested skin can be transformed with the Lancer Method: Oily-Congested. Dr. Lancer developed this advanced system with highly effective ingredients to give you a beautiful complexion day after day with a simple three-step regimen. Try the Lancer Method: Oily-Congested products and put an end to your frustrating search for the right skin care products. You will feel and see a difference in your skin that you never thought possible.
How to Care for Congested Skin was last modified:  March 3rd, 2023 by Dr. Harold Lancer",How to Care for Congested Skin,
